"","facility_id","latitude","longitude","ancscore"
"1",10001,18.53976,-72.34021,7
"2",10003,18.55061,-72.33681,6
"3",10004,18.53351,-72.31684,5
"4",10005,18.52958,-72.36859,5
"5",10006,18.53578,-72.34674,4
"6",10007,18.54501,-72.33172,2
"7",10008,18.52382,-72.34883,6
"8",10009,18.54869,-72.32407,4
"9",10010,18.54188,-72.31995,1
"10",10012,18.54221,-72.34307,4
"11",10014,18.53726,-72.34516,6
"12",10017,18.53757,-72.34108,2
"13",10019,18.53844,-72.34366,2
"14",10020,18.5339,-72.32434,5
"15",10021,18.53496,-72.32405,2
"16",10022,18.52682,-72.34421,2
"17",10023,18.53527,-72.32839,6
"18",10028,18.54892,-72.33953,4
"19",10029,18.52862,-72.34716,2
"20",10030,18.52452,-72.33976,3
"21",10031,18.53114,-72.3372,4
"22",10032,18.52926,-72.35565,2
"23",10033,18.5336,-72.35338,4
"24",10034,18.54667,-72.32307,5
"25",10035,18.53748,-72.34921,3
"26",10036,18.5274,-72.35232,4
"27",10037,18.52198,-72.37087,5
"28",10039,18.52386,-72.36945,6
"29",10042,18.53085,-72.33741,4
"30",10043,18.53574,-72.33351,3
"31",10044,18.54147,-72.33338,4
"32",10046,18.54483,-72.33498,2
"33",10047,18.53761,-72.3186,7
"34",10048,18.52505,-72.31867,3
"35",10051,18.5255,-72.33495,3
"36",10052,18.50683,-72.36136,2
"37",10053,18.53666,-72.35447,6
"38",10056,18.54373,-72.32168,3
"39",10057,18.53042,-72.33686,7
"40",10060,18.53557,-72.32518,4
"41",10061,18.55598,-72.33649,4
"42",10062,18.54707,-72.31259,3
"43",10064,18.5604,-72.3405,4
"44",10065,18.5569,-72.30665,4
"45",10066,18.55645,-72.29836,6
"46",10067,18.57496,-72.26299,2
"47",10068,18.55987,-72.30203,6
"48",10069,18.54151,-72.27851,6
"49",10071,18.53947,-72.29573,6
"50",10072,18.55659,-72.32526,5
"51",10074,18.57547,-72.30878,4
"52",10075,18.54602,-72.28937,7
"53",10076,18.56426,-72.3354,5
"54",10077,18.56399,-72.30797,5
"55",10078,18.59565,-72.2861,4
"56",10082,18.56671,-72.32513,7
"57",10083,18.56466,-72.28236,3
"58",10084,18.55793,-72.32331,2
"59",10086,18.54383,-72.30578,4
"60",10087,18.56195,-72.31901,7
"61",10088,18.5781,-72.33685,4
"62",10089,18.57397,-72.32857,4
"63",10090,18.59636,-72.32747,3
"64",10091,18.57776,-72.33781,4
"65",10093,18.57037,-72.25368,7
"66",10097,18.55281,-72.32904,7
"67",10098,18.56703,-72.29501,2
"68",10099,18.57035,-72.25116,5
"69",10101,18.58039,-72.26752,5
