"clusterid","birthorder","rural","facilitybirth","age","married","educat","wealth","pca","svyweight","latitude","longitude","xvar","yvar","surface_var"
1,1,0,0,21.25,0,1,10.1321,1.0863516,1985242,18.552098,-72.277978,-6286.27354965775,2061.74970327662,26.5831036279679
1,5,0,0,27.5,1,1,4.2934,0.62728429,1985242,18.552098,-72.277978,-6286.27354965775,2061.74970327662,26.5831036279679
1,2,0,1,30.583334,1,2,10.7081,2.0518694,1985242,18.552098,-72.277978,-6286.27354965775,2061.74970327662,26.5831036279679
1,2,0,1,19.416666,1,2,5.9977,1.6815145,1985242,18.552098,-72.277978,-6286.27354965775,2061.74970327662,26.5831036279679
2,6,1,0,33.666668,1,0,-10.3003,-1.440374,692103,19.096594,-72.089728,-6269.90077570268,2122.2611595246,3.96973708092112e-11
2,1,1,0,18.75,0,1,-8.8707,-0.40774202,692103,19.096594,-72.089728,-6269.90077570268,2122.2611595246,3.96973708092112e-11
2,1,1,1,19.083334,0,1,-7.3408,-0.28745374,692103,19.096594,-72.089728,-6269.90077570268,2122.2611595246,3.96973708092112e-11
2,1,1,1,16.333334,0,1,-7.3408,-0.28745374,692103,19.096594,-72.089728,-6269.90077570268,2122.2611595246,3.96973708092112e-11
2,6,1,0,29.416666,1,0,-11.5594,-1.5393707,692103,19.096594,-72.089728,-6269.90077570268,2122.2611595246,3.96973708092112e-11
2,2,1,1,28.416666,1,2,-7.8672,0.59138787,692103,19.096594,-72.089728,-6269.90077570268,2122.2611595246,3.96973708092112e-11
2,1,1,0,20.25,0,1,-10.8425,-0.5627746,692103,19.096594,-72.089728,-6269.90077570268,2122.2611595246,3.96973708092112e-11
3,3,1,0,30.083334,0,1,-8.7404,-0.39749718,965241,18.330882,-73.204611,-6366.86612680676,2037.16531274785,5.01518875054111e-16
3,1,1,1,25.083334,0,2,3.2363,1.4643997,965241,18.330882,-73.204611,-6366.86612680676,2037.16531274785,5.01518875054111e-16
4,4,1,0,27.666666,1,0,-8.5315,-1.3013022,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
4,3,1,0,23.166666,1,1,-9.993,-0.49598277,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
4,1,1,0,23.416666,1,1,-6.9324,-0.25534332,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
4,9,1,0,45.416668,1,0,-11.2846,-1.5177644,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
4,1,1,0,23.833334,1,1,-10.9142,-0.56841201,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
4,3,1,0,31,1,1,-8.7984,-0.40205744,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
4,3,1,0,26.083334,0,0,-12.6861,-1.6279573,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
4,5,1,0,41.916668,1,0,-5.4878,-1.0619916,1774592,19.63826,-72.688451,-6321.97385055366,2182.45810947468,0.063904089200799
5,1,1,1,23.25,0,2,1.429,1.3223008,1506903,18.992,-72.710885,-6323.92501555185,2110.6373179265,4.11724660942659e-10
5,2,1,0,32.5,1,1,1.429,0.40207106,1506903,18.992,-72.710885,-6323.92501555185,2110.6373179265,4.11724660942659e-10
5,2,1,1,28.416666,1,2,1.429,1.3223008,1506903,18.992,-72.710885,-6323.92501555185,2110.6373179265,4.11724660942659e-10
5,2,1,1,24.583334,1,2,10.2543,2.0161893,1506903,18.992,-72.710885,-6323.92501555185,2110.6373179265,4.11724660942659e-10
5,6,1,0,36.5,0,1,-1.2262,0.19330618,1506903,18.992,-72.710885,-6323.92501555185,2110.6373179265,4.11724660942659e-10
